,PMID,Other_term
4997,31159779,awareness---brain health---dementia literacy---health promotion---lifestyle---prevention---risk factors cois
5003,32945773,ballistocardiography---ehealth---home care---mobile health---sleep apnea---vital signs cois
5007,32130198,african-american---ehealth---exercise---heart diseases---mhealth---minority health---primary prevention cois
5010,31763746,breast cancer---ehealth---fatigue---physical activity---quality of life---sedentary time
5011,31579026,ehealth---exercise---fitness---mhealth---measurement---public health---quantified self---wearable cois
5013,32795352,ambulatory monitoring---asthma control---inhaler use---multivariate analysis---paediatrics---physiology sensors---telemedicine---wearable electronic devices---ehealth---spirometry cois
5014,33144141,blood pressure---cardiovascular diseases---diabetes---empowerment---lipids---ehealth
5024,32014842,cardiac rehabilitation---ehealth---physical activity---technology cois
5026,32543439,"ehealth---machine learning, secondary prevention, sms text messaging, cardiovascular,  mhealth, digital health, mobile phone cois study is not related to sandstone technology and was performed external to his employment. all other authors declare no conflicts of interest."
5027,31579020,activity monitor---mhealth and ehealth---validation cois
5136,33900204,cardiovascular disease---ehealth---electronic health record---implementation fidelity---mixed methods---mobile phone---primary health care---user engagement---web-based intervention cois
5163,35062111,heart signals monitoring---phonocardiography (pcg)---application---ehealth system---expert evaluation
5180,34407481,behavioral intervention---dyadic research---family caregivers---heart failure cois
5237,33632054,ehealth---end-user involvement---heart disease---mental health---participatory design---telemedicine---workshops
5270,35357316,cardiac rehabilitation---cardiovascular---ehealth---mobile device app---mobile phone---risk factors---web-based application cois
5288,34322469,covid-19---chronic condition---digital health---digital health (ehealth)---gamification cois commercial or financial relationships that could be construed as a potential conflict of interest.
5291,34380542,"atrial fibrillation---clinical decision support---clinical trials---informatics cois fees from bayer, servier, and hls therapeutic, outside the submitted work. r.p. reports grants from bayer and pfizer during the conduct of the study. j.m.k. reports other fees from merck canada, bayer, and pfizer outside the submitted work. a.c. and s.h.c. are employees of bayer inc. j.n.w. reports personal fees from nova scotia health authority during the conduct of the study. all other authors declare no competing interests."
5342,35720409,digital health (ehealth)---heart rate variability (hrv)---immune memory---immune system---machine learning and ai cois of vitalink ai.
5363,36011765,disease management---ehealth---health professionals---health promotion---medication adherence---mobile health technologies---oral anticoagulants---patient---self-management---usability cois
5491,33622318,cardiology---collaboration---heart failure---multidisciplinary---perception cois
5506,34739058,communications media---consumer health information---heart failure---online health forums---peer-to-peer healthcare---ehealth
5519,36264611,"roe v. wade---abortion---abortion rights, confidentiality and privacy---digital health---ehealth---ethic---health policy---health research---health rights---mhealth---privacy---reproductive health---reproductive information---safety---wearable---women's health---women's rights cois"
5526,34270717,disability---frailty---frailty assessment---frailty components---frailty digital health---frailty domains---frailty evaluation---frailty in cardiovascular diseases---frailty management---frailty prevention---frailty screening---frailty trajectory---multimorbidity---nutrition---rehabilitation
5540,33618148,chronic obstructive pulmonary disease---electronic health literacy---health literacy---psychological well-being---self-management cois
5542,35430045,automated image analysis---convolutional neural networks---early detection of diseases---microcirculation analysis
5544,33735480,"ehealth---mhealth---telemedicine---transplantation---wearables cois qbio, january, sensomics, protos, mirvie, and oralome. he is on the scientific advisory board of danaher, genapsys, and jupiter. the co‐authors have no conflicts of interest."
